Year Read,Title,Author,Release,Pages,Avg Rating,My Rating,FTR,School?,Series Name,Series Number,Genre 1,Genre 2,Genre 3
2023,Dune,Frank Herbert,1965,658,4.28,5,4.5,0,Dune,1,SciFi,Space,Political
2023,Dune Messiah,Frank Herbert,1969,336,3.89,4,4,0,Dune,2,SciFi,Space,Political
2023,Slaughterhouse Five,Kurt Vonnegut,1969,275,4.1,5,5,0,,,Fiction,SciFi,Humor
2023,The Hobbit,J.R.R. Tolkein,1937,366,4.29,5,5,0,LoTR,,Fantasy,High-Fantasy,Philosophy
2023,Crime and Punishment,Fyodor Dostoyevsky,1866,671,4.28,4,4,0,,,Classic,Psych,Murder
2023,The Ten Equations that Rule the World,,2021,248,3.65,4,3.5,0,,,Nonfiction,Economics,Science
2023,Hear the Wind Sing,Haruki Murakami,1979,130,3.57,3,2.5,0,,,Fiction,Literature,Realistic
2023,Frankenstein,Mary Shelley,1818,260,3.89,5,5,0,,,Classic,Fantasy,Thriller
2023,The da Vinci Code,Dan Brown,2003,489,3.93,4,4,0,Da Vinci Code,2,Fiction,Mystery,Murder
2024,Flowers for Algernon,Daniel Keyes,1958,311,4.23,5,5,0,,,Fiction,SciFi,Tragedy
2024,Fellowship of the Ring,J.R.R. Tolkein,1954,432,4.4,5,4.5,0,LoTR,1,Fantasy,High-Fantasy,Philosophy
2024,The Two Towers,J.R.R. Tolkein,1954,448,4.5,5,5,0,LoTR,2,Fantasy,High-Fantasy,Philosophy
2024,Return of the King,J.R.R. Tolkein,1955,432,4.58,5,5,0,LoTR,3,Fantasy,High-Fantasy,Philosophy
2024,The Most Dangerous Game,Richard Connell,1924,27,3.95,3,2.5,0,,,Classic,Thriller,Murder
2024,Dr. Jekyll & Mr. Hyde,Robert Louis Stevenson,1886,139,3.83,2,2,0,,,Classic,Thriller,Philosophy
2024,The Metamorphosis,Franz Kafka,1915,201,3.89,3,3,0,,,Classic,Fantasy,Bottle
2024,Death on the Nile,Agatha Christie,1937,352,4.12,5,4.5,0,Hercule Poirot,18,Mystery,Murder,Bottle
2024,Pinball 1973,Haruki Murakami,1980,215,3.51,2,2,0,,,Fiction,Literature,Realistic
2024,Hallowe'en Party,Agatha Christie,1969,336,3.57,4,4,0,Hercule Poirot,36,Mystery,Murder,Bottle
2024,Murder on the Orient Express,Agatha Christie,1934,274,4.2,5,5,0,Hercule Poirot,10,Mystery,Murder,Bottle
2024,Once Upon a Prime,Sarah Hart,2023,286,3.89,3,3,0,,,Nonfiction,Science,Math
2024,And Then There were None,Agatha Christie,1939,264,4.28,5,5,0,,,Mystery,Murder,Bottle
2024,Moneyball,Michael Lewis,2003,317,4.27,3,3,0,,,Nonfiction,Economics,History
2024,Flash Boys,Michael Lewis,2014,304,4.14,4,4,0,,,Nonfiction,Economics,History
2024,Cat's Cradle,Kurt Vonnegut,1963,306,4.15,4,4,0,,,Fiction,SciFi,Humor
2024,Breakfast of Champions,Kurt Vonnegut,1973,303,4.06,3,3.5,0,,,Fiction,SciFi,Humor
2024,The Great Gatsby,F. Scott Fitzgerald,1925,180,3.93,3,3,0,,,Classic,Fiction,Romance
2024,Animal Farm,George Orwell,1945,141,4,4,4,0,,,Classic,Political,Dystopian
2025,One Flew Over the Cuckoo's Nest,Ken Kesey,1963,325,4.2,3,2.5,0,,,Fiction,Psych,Realistic
2025,Brave New World,Aldous Huxley,1932,268,3.99,5,5,0,,,SciFi,Robot,Dystopian
2025,Hello Beautiful,Ann Napolitano,2023,416,4.14,5,5,0,,,Fiction,Romance,Literature
2025,Where the Crawdads Sing,Delia Owens,2018,384,4.38,4,4.5,0,,,Fiction,Romance,Murder
2025,American Gods,Neil Gaiman,2001,635,4.1,4,4,0,American Gods,1,Fantasy,Greek,Thriller
2025,Anansi Boys,Neil Gaiman,2006,387,4.04,4,4,0,American Gods,2,Fantasy,Greek,Thriller
2025,The Martian,Andy Weir,2014,369,4.42,5,5,0,,,SciFi,Space,Realistic
2025,The Power Broker: Robert Moses & the Fall of New York,Robert Caro,1974,1246,4.52,4,3.5,0,,,Nonfiction,History,Political
2025,Children of Dune,Frank Herbert,1976,609,3.96,3,3,0,Dune,3,SciFi,Space,Dystopian
2025,The Song of Achilles,Madeline Miller,2011,416,4.31,4,4,0,Song of Achilles,1,Fantasy,Greek,Romance
2025,Circe,Madeline Miller,2018,393,4.22,4,4,0,Song of Achilles,2,Fantasy,Greek,Romance
2025,The Midnight Library,Matt Haig,2020,288,3.98,4,3.5,0,,,Fiction,Fantasy,Realistic
2025,Carrie,Stephen King,1974,272,3.99,3,3,0,,,Fiction,Thriller,Realistic
2025,On Earth We're Briefly Gorgeous,Ocean Vuong,2019,246,4,3,3,0,,,Fiction,Poetry,Romance
2026,Mythos,Stephen Fry,2017,416,4.25,4,4,0,,,Fantasy,Greek,Nonfiction
2026,"I, Robot",Isaac Asimov,1950,224,4.21,4,4,0,Robot,1,SciFi,Robot,Dystopian
2026,Project Hail Mary,Andy Weir,2021,476,4.51,5,5,0,,,SciFi,Space,Realistic
2026,Everything is Tuberculosis,John Green,2025,198,4.33,5,5,0,,,Nonfiction,Science,Bio
2026,Invisible Women,Caroline Criado Perez,2019,448,4.33,4,3.5,0,,,Nonfiction,Economics,Science
2022,Math Without Numbers,Milo Beckman,2021,224,4.1,5,5,0,,,Nonfiction,Science,Math
2020,Humble Pi,Matt Parker,2019,314,4.1,4,4,0,,,Nonfiction,Science,Math
2016,Their Eyes Were Watching God,Zora Neale Hurston,1937,238,3.99,4,4,1,,,Fiction,African American,Literature
2016,Ender's Game,Orson Scott Card,1985,324,4.31,4,4,1,Ender's Game,1,SciFi,Space,Political
2014,The Fault in Our Stars,John Green,2012,313,4.12,4,4,0,,,Fiction,Romance,Tragedy
2016,A Raisin in the Sun,Lorraine Hansberry,1959,162,3.85,3,3,1,,,Play,African American,Literature
2016,The Crucible,Arthur Miller,1953,143,3.61,3,3,1,,,Play,Political,Murder
2019,Our Mathematical Universe,Max Tegmark,2012,432,4.18,5,5,0,,,Nonfiction,Science,Math
2015,The Odyssey,Homer,801,541,3.84,4,4,1,,,Fantasy,Greek,Classic
2016,The Adventures of Huckleberry Finn,Mark Twain,1885,327,3.83,4,3.5,1,Huck Finn,2,Fiction,Literature,Classic
2015,Of Mice and Men,John Steinbeck,1937,107,3.9,3,3,1,,,Fiction,Literature,Classic
2014,The Catcher in the Rye,J.D. Salinger,1951,277,3.8,3,3,1,,,Fiction,Literature,Philosophy
2014,To Kill a Mockingbird,Harper Lee,1960,323,4.26,4,4,1,TKAM,1,Fiction,Literature,Political
2014,The Outsiders,S.E. Hinton,1967,208,4.15,4,4.5,1,,,Fiction,Literature,Philosophy
2013,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,216,4.22,5,5,0,Hitchhiker's Guide,1,SciFi,Space,Humor
2013,The Restaurant at the End of the Universe,Douglas Adams,1980,250,4.19,4,4,0,Hitchhiker's Guide,2,SciFi,Space,Humor
2012,The Giver,Lois Lowry,1993,208,4.12,4,4,1,Giver,1,SciFi,Political,Dystopian
2016,Fahrenheit 451,Ray Bradbury,1953,249,3.97,4,4,1,,,SciFi,Robot,Dystopian
2017,1984,George Orwell,1948,368,4.2,4,3.5,1,,,Classic,SciFi,Dystopian
2017,Macbeth,William Shakespeare,1623,249,3.89,4,4,1,,,Play,Tragedy,Murder
2015,Romeo and Juliet,William Shakespeare,1590,281,3.74,3,3,1,,,Play,Tragedy,Romance
2020,How to Win Friends and Influence People,Dale Carnegie,1936,288,4.21,5,4.5,0,,,Nonfiction,Economics,Bio
2011,"Roll of Thunder, Hear My Cry",Mildred D. Taylor,1976,288,3.9,1,1,1,,,Fiction,African American,History
2015,Freakonomics,Steven D. Levitt ,2005,268,4.01,5,5,0,Freakonomics,1,Nonfiction,Economics,Humor
2015,SuperFreakonomics,Steven D. Levitt ,2009,270,4,4,4,0,Freakonomics,2,Nonfiction,Economics,Humor
2016,Julius Caesar,William Shakespeare,1599,175,3.71,3,3,1,,,Play,Tragedy,Murder
2013,The Maze Runner,James Dashner,2009,384,4.06,5,5,0,Maze Runner,1,SciFi,Robot,Dystopian
2013,The Scorch Trials,James Dashner,2010,362,3.9,4,4,0,Maze Runner,2,SciFi,Robot,Dystopian
2013,The Death Cure,James Dashner,2011,325,3.78,3,3,0,Maze Runner,3,SciFi,Robot,Dystopian
2009,The Lightning Thief,Rick Riordan,2005,377,4.31,5,4.5,0,Percy Jackson,1,Fantasy,Greek,Teen
2010,Sea Of Monsters,Rick Riordan,2006,279,4.24,4,4,0,Percy Jackson,2,Fantasy,Greek,Teen
2010,The Last Olympian,Rick Riordan,2009,381,4.55,5,4.5,0,Percy Jackson,5,Fantasy,Greek,Teen
2008,Sorcerer's Stone,J.K. Rowling,1997,223,4.47,5,4.5,0,Harry Potter,1,Fantasy,High-Fantasy,Teen
2009,Chamber of Secrets,J.K. Rowling,1998,352,4.43,4,4,0,Harry Potter,2,Fantasy,High-Fantasy,Teen
2009,Prizoner of Azkaban,J.K. Rowling,1999,547,4.58,4,4,0,Harry Potter,3,Fantasy,High-Fantasy,Teen
2010,Goblet of Fire,J.K. Rowling,2000,734,4.57,4,4,0,Harry Potter,4,Fantasy,High-Fantasy,Teen
2010,Order of the Phoenix,J.K. Rowling,2003,870,4.5,5,5,0,Harry Potter,5,Fantasy,High-Fantasy,Teen
2011,Half-Blood Prince,J.K. Rowling,2005,652,4.58,5,5,0,Harry Potter,6,Fantasy,High-Fantasy,Teen
2011,Deathly Hallows,J.K. Rowling,2007,759,4.62,4,4,0,Harry Potter,7,Fantasy,High-Fantasy,Teen
2008,James and the Giant Peach,Roald Dahl,1961,176,4.04,4,4,1,,,Fantasy,Classic,Teen
